,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes,total_electors,Unnamed: 12,margin
1189,Bihar,Samastipur (SC),DR. ASHOK KUMAR,M,59.0,SC,INC,263528,1,263529,1504451, ,-6872
1192,Bihar,Samastipur (SC),RAM CHANDRA PASWAN,M,53.0,SC,LJP,270391,10,270401,1504451, ,0
1202,Bihar,Begusarai,MD. TANVEER HASSAN,M,54.0,GEN,RJD,369699,193,369892,1778759, ,-58335
1203,Bihar,Begusarai,BHOLA SINGH,M,75.0,GEN,BJP,427987,240,428227,1778759, ,0
1215,Bihar,Khagaria,KRISHNA KUMARI YADAV,F,39.0,GEN,RJD,237772,31,237803,1506587, ,-76003
1216,Bihar,Khagaria,CHOUDHARY MAHBOOB ALI KAISER,M,47.0,GEN,LJP,313736,70,313806,1506587, ,0
1231,Bihar,Bhagalpur,SHAILESH KUMAR URPH BULO MANDAL,M,38.0,GEN,RJD,367619,4,367623,1685339, ,0
1232,Bihar,Bhagalpur,SYED SHAHNAWAZ HUSSAIN,M,45.0,GEN,BJP,358083,55,358138,1685339, ,-9485
1248,Bihar,Banka,JAI PRAKASH NARAYAN YADAV,M,60.0,GEN,RJD,285148,2,285150,1549456, ,0
1249,Bihar,Banka,PUTUL KUMARI,F,54.0,GEN,BJP,274980,26,275006,1549456, ,-10144
1268,Bihar,Munger,RAJIV RANJAN SINGH ALIAS LALAN SINGH,M,60.0,GEN,JD(U),243818,9,243827,1719984, ,-109084
1269,Bihar,Munger,VEENA DEVI,F,41.0,GEN,LJP,352863,48,352911,1719984, ,0
1281,Bihar,Nalanda,KAUSHLENDRA KUMAR,M,49.0,GEN,JD(U),321938,44,321982,1951967, ,0
1283,Bihar,Nalanda,SATYA NAND SHARMA,M,64.0,GEN,LJP,312315,40,312355,1951967, ,-9627
1303,Bihar,Patna Sahib,KUNAL SINGH,M,58.0,GEN,INC,219693,407,220100,1946249, ,-265805
1306,Bihar,Patna Sahib,SHATRUGHANA SINHA,M,67.0,GEN,BJP,484458,1447,485905,1946249, ,0
1323,Bihar,Pataliputra,MISHA BHARTI,F,39.0,GEN,RJD,342478,462,342940,1736074, ,-40322
1326,Bihar,Pataliputra,RAM KRIPAL YADAV,M,53.0,GEN,BJP,382232,1030,383262,1736074, ,0
1346,Bihar,Arrah,RAJ KUMAR SINGH,M,61.0,GEN,BJP,390953,121,391074,1824515, ,0
