,pc_name,party,max_total_votes,total_electors
7573,Rajmahal,JMM,507830,1454436
4861,Rajsamand,BJP,863039,1912911
5673,Ramanathapuram,IUML,469943,1559740
5900,Rampur,SP,559177,1679506
3316,Ramtek ,SHS,597126,1922764
7041,Ranaghat,BJP,783253,1762252
7695,Ranchi,BJP,706510,1915959
4051,Ratnagiri - sindhudurg,SHS,458022,1455577
3238,Raver,BJP,655386,1775051
6879,Robertsganj,ADAL,447914,1723538
1733,Rohtak,BJP,573845,1737133
2794,SAGAR,BJP,646231,1583129
7395,SARGUJA,BJP,663711,1655239
2853,SATNA,BJP,588753,1575064
2928,SHAHDOL,BJP,747977,1656474
2900,SIDHI,BJP,698342,1845547
8543,SOUTH DELHI                   ,BJP,687014,2067463
1250,Sabarkantha,BJP,701983,1801717
5827,Saharanpur,BSP,514139,1739082
5226,Salem,DMK,606302,1612512
6730,Salempur,BJP,467940,1667282
877,Samastipur (SC),LJP,562443,1679030
4157,Sambalpur,BJP,473770,1468530
5913,Sambhal,SP,658006,1828764
4027,Sangli,BJP,508995,1809109
4576,Sangrur,AAAP,413561,1529431
6615,Sant Kabir Nagar,BJP,467543,1962903
832,Saran,BJP,499986,1667253
1079,Sasaram (SC),BJP,494800,1787878
4040,Satara,NCP,579026,1848489
8140,Secundrabad,BJP,384780,1968276
6154,Shahjahanpur,BJP,688990,2114201
565,Sheohar,BJP,608678,1686215
4119,Shillong,INC,419689,1197806
1871,Shimla,BJP,606182,1259085
2201,Shimoga,BJP,729872,1676668
3898,Shirdi,SHS,486820,1587079
3853,Shirur,NCP,635830,2175529
6568,Shrawasti,BSP,441771,1914739
4675,Sikar,BJP,772104,2041612
4902,Sikkim,SKM,166922,434128
373,Silchar,BJP,499414,1195720
7739,Singhbhum,INC,431815,1269917
1641,Sirsa,BJP,714351,1803349
585,Sitamarhi,JD(U),567745,1752454
6195,Sitapur,BJP,514528,1666126
5555,Sivaganga,INC,566104,1552019
799,Siwan,JD(U),448473,1799551
3980,Solapur ,BJP,524985,1851654
1704,Sonipat,BJP,587664,1592611
1190,South Goa,INC,201561,579352
7226,Srerampur,AITC,637707,1785472
11,Srikakulam,TDP,534544,1553860
1889,Srinagar,JKN,106750,1294671
5031,Sriperumbudur,DMK,793281,2253448
6316,Sultanpur,BJP,459196,1775196
4148,Sundargarh ,BJP,500056,1531525
641,Supaul,JD(U),597377,1690620
1545,Surat,BJP,795651,1655704
1331,Surendranagar,BJP,631844,1849429
2804,TIKAMGARH,BJP,672248,1647399
4760,TONK-SAWAI MADHOPUR,BJP,644319,1945992
7258,Tamluk,AITC,724433,1694646
7814,Tehri Garhwal,BJP,565333,1493543
5733,Tenkasi ,DMK,476156,1492317
463,Tezpur,BJP,684166,1499639
3617,Thane,SHS,740969,2370903
5542,Thanjavur,DMK,588978,1461052
5612,Theni ,ADMK,504813,1561040
4914,Thiruvallur ,INC,767292,1946870
2699,Thiruvananthapuram,INC,416131,1371427
5694,Thoothukkudi,DMK,563143,1427783
2580,Thrissur,INC,415089,1337110
5418,Tiruchirappalli,INC,621285,1508963
5759,Tirunelveli,DMK,522993,1547800
315,Tirupati ,YSRCP,722877,1650453
5300,Tiruppur,CPI,508725,1530014
5143,Tiruvannamalai,DMK,666272,1473862
