,state,party,total_votes
562,Kerala,BDJS,380847
563,Kerala,BJP,2635810
564,Kerala,BSP,50153
565,Kerala,CPI,1233886
566,Kerala,CPIM,5270241
567,Kerala,INC,7596610
568,Kerala,IND,817459
569,Kerala,IUML,1111697
570,Kerala,KEC,155135
571,Kerala,KEC(M),421046
572,Kerala,MCPI,871
573,Kerala,NALAP,2833
574,Kerala,NOTA,103596
575,Kerala,PDP,3156
576,Kerala,PNP,1695
577,Kerala,RSP,499677
578,Kerala,RSPS,379
579,Kerala,SDC,804
580,Kerala,SDPI,80111
581,Kerala,SMFB,932
582,Kerala,SUCI(C),11527
583,Kerala,VCK,1628
584,Kerala,igp,320
585,Lakshadweep,BJP,125
586,Lakshadweep,CPI,143
587,Lakshadweep,CPIM,420
588,Lakshadweep,INC,22028
589,Lakshadweep,JD(U),1342
590,Lakshadweep,NCP,22851
591,Lakshadweep,NOTA,100
592,Madhya Pradesh,AABHAP,3472
593,Madhya Pradesh,ABGP,46595
594,Madhya Pradesh,ABHM,3081
595,Madhya Pradesh,AIFB,3236
596,Madhya Pradesh,AINHCP,5584
597,Madhya Pradesh,AIUC,4024
598,Madhya Pradesh,AKBHAD,6879
599,Madhya Pradesh,ANRP,2360
600,Madhya Pradesh,ANSP,1424
601,Madhya Pradesh,APoI,32423
602,Madhya Pradesh,ARK,933
603,Madhya Pradesh,AVIRP,6335
604,Madhya Pradesh,AVVP,1325
605,Madhya Pradesh,BAHUMP,7760
606,Madhya Pradesh,BHAPRAP,16598
607,Madhya Pradesh,BHJMP,1055
608,Madhya Pradesh,BJP,21406911
609,Madhya Pradesh,BJSPP,1392
610,Madhya Pradesh,BLRP,3435
611,Madhya Pradesh,BMUP,34642
612,Madhya Pradesh,BMVSP,1311
613,Madhya Pradesh,BSCP,61758
614,Madhya Pradesh,BSP,878013
615,Madhya Pradesh,BTARP,4632
616,Madhya Pradesh,BTP,14784
617,Madhya Pradesh,CPI,91704
618,Madhya Pradesh,CPIM,14271
619,Madhya Pradesh,GGP,111512
620,Madhya Pradesh,HND,17767
621,Madhya Pradesh,INC,12733074
622,Madhya Pradesh,IND,699148
623,Madhya Pradesh,JAC,7888
624,Madhya Pradesh,JANADIP,3112
625,Madhya Pradesh,JD(U),6320
626,Madhya Pradesh,JLokP,473
627,Madhya Pradesh,JNSMP,1158
628,Madhya Pradesh,KPOI,2583
629,Madhya Pradesh,KSRP,2426
630,Madhya Pradesh,MNDP,4455
631,Madhya Pradesh,MPJVP,15472
632,Madhya Pradesh,NATWOMP,1748
633,Madhya Pradesh,NOTA,340984
634,Madhya Pradesh,PBI,1890
635,Madhya Pradesh,PHRC,9906
636,Madhya Pradesh,PPID,35703
637,Madhya Pradesh,PRSP,4612
638,Madhya Pradesh,PSJP,1204
639,Madhya Pradesh,PSPL,23901
640,Madhya Pradesh,PSPU,2304
641,Madhya Pradesh,RAPty,2272
642,Madhya Pradesh,RKSP,1431
643,Madhya Pradesh,RPI(A),9299
644,Madhya Pradesh,RPIR,825
645,Madhya Pradesh,RRP,1113
646,Madhya Pradesh,RSOSP,7361
647,Madhya Pradesh,RSPS,2164
648,Madhya Pradesh,RTAMP,1965
649,Madhya Pradesh,RTORP,484
650,Madhya Pradesh,RaNP,930
651,Madhya Pradesh,RsAD,5696
652,Madhya Pradesh,SABHP,10554
653,Madhya Pradesh,SADSP,6368
654,Madhya Pradesh,SDP(MP),418
655,Madhya Pradesh,SGUP,15558
656,Madhya Pradesh,SHS,9900
657,Madhya Pradesh,SJPT,1672
658,Madhya Pradesh,SMARTIP,11877
659,Madhya Pradesh,SP,82662
660,Madhya Pradesh,SP(I),528
661,Madhya Pradesh,SPAKP,28618
662,Madhya Pradesh,SUCI(C),3540
663,Madhya Pradesh,SWAJANPA,968
664,Madhya Pradesh,SaVP,2688
665,Madhya Pradesh,SamSP,9396
666,Madhya Pradesh,VSP,4294
667,Madhya Pradesh,cvgrp,3353
668,Madhya Pradesh,ssrd,572
669,Madhya Pradesh,swbi,527
670,Maharashtra,AAPP,1890
671,Maharashtra,ABEP,1006
672,Maharashtra,ABHS,1567
673,Maharashtra,ABJS,850
674,Maharashtra,ABMP,480
675,Maharashtra,ABSSP,735
676,Maharashtra,ACDP,589
677,Maharashtra,AIMF,722
678,Maharashtra,AIMIM,389042
679,Maharashtra,AKHP,3907
680,Maharashtra,ALoP,4856
681,Maharashtra,ANC,7384
682,Maharashtra,APoI,51693
683,Maharashtra,ARP,4399
684,Maharashtra,BAAP,3919
685,Maharashtra,BAHUMP,33428
686,Maharashtra,BALP,11383
687,Maharashtra,BARESP,52574
688,Maharashtra,BBKD,4525
689,Maharashtra,BEPP,1434
690,Maharashtra,BHAPRAP,5822
691,Maharashtra,BJAZP,6607
692,Maharashtra,BJP,14912139
693,Maharashtra,BKNP,5580
694,Maharashtra,BLRP,1234
695,Maharashtra,BMFP,4576
696,Maharashtra,BMSM,620
697,Maharashtra,BMUP,76579
698,Maharashtra,BPSJP,14757
699,Maharashtra,BSCP,905
700,Maharashtra,BSP,462539
701,Maharashtra,BTP,22673
702,Maharashtra,BVA,491596
703,Maharashtra,CPI,37395
704,Maharashtra,CPIM,111272
705,Maharashtra,CSM,1169
706,Maharashtra,DJHP,273
707,Maharashtra,DMSK,2199
708,Maharashtra,DSPVAD,1238
709,Maharashtra,GGP,5778
710,Maharashtra,HAPa,2728
711,Maharashtra,HBP,7082
712,Maharashtra,HJP,5597
713,Maharashtra,HND,2096
714,Maharashtra,HiPPa,3750
