,pc_name,total_votes,postal_votes,total_electors,vtr,postal_votes_per
356,Mumbai North West,941497,1366,[1732263],54.35069617,0.07885639
357,Mumbai North central,901784,1333,[1679891],53.68110193,0.07935039
358,Mumbai South central,797250,1772,[1440380],55.34997709,0.12302309
359,Munger,1036268,5247,[1888025],54.88634949,0.27790946
360,Murshidabad,1453755,1772,[1725187],84.26651719,0.1027135
361,Muzaffarnagar,1160071,5879,[1698003],68.31972617,0.34623025
362,Muzaffarpur,1058086,4122,[1730553],61.14149639,0.23818976
363,Mysore,1318041,5563,[1896333],69.50472306,0.29335565
364,NEW DELHI                     ,920541,1485,[1617470],56.91240023,0.09181005
365,NORTH EAST DELHI              ,1461475,3429,[2290492],63.80616042,0.14970583
366,NORTH WEST DELHI              ,1402962,1120,[2378995],58.97288561,0.0470787
367,Nabarangpur ,1159700,2503,[1461004],79.37692162,0.17132054
368,Nagaland,1006357,4215,[1213777],82.91119374,0.34726313
369,Nagapattinam ,1002208,4365,[1303649],76.87713487,0.33482939
370,Nagarkurnool,989847,799,[1588111],62.32857779,0.05031134
371,Nagaur,1203124,7088,[1933169],62.23584177,0.36665186
372,Nagina,1009456,3501,[1586117],63.6432243,0.22072773
373,Nagpur ,1186051,4336,[2161096],54.88192103,0.20063894
374,Nainital-udhamsingh Nagar,1258570,9314,[1828433],68.83325777,0.50939794
375,Nalanda,1031286,2265,[2114809],48.76497121,0.10710187
376,Nalgonda,1175703,953,[1585980],74.13101048,0.06008903
377,Namakkal,1133774,3884,[1413599],80.20478226,0.27475967
378,Nanded,1129350,10095,[1719322],65.68577614,0.58715005
379,Nandurbar ,1281738,3747,[1871099],68.50188045,0.20025664
380,Nandyal,1299093,10617,[1603220],81.03023914,0.66222976
381,Narasapuram,1177738,8950,[1439691],81.80491508,0.62166118
382,Narasaraopet,1437420,7895,[1670391],86.05290618,0.47264383
383,Nashik,1121232,2679,[1885064],59.47978424,0.14211719
384,Navsari,1308018,4937,[1971658],66.34101857,0.2503984
385,Nawada,942462,7107,[1899747],49.6098691,0.37410245
386,Nellore,1287036,13102,[1672845],76.93695471,0.78321662
387,Nilgiris ,1010719,2945,[1366060],73.98789219,0.2155835
388,Nizamabad,1062768,1146,[1553385],68.41626512,0.07377437
389,North Goa,428628,1034,[556761],76.98599579,0.18571703
390,Nowgong,1493475,3146,[1794648],83.21826899,0.175299
391,Ongole ,1342368,19072,[1556469],86.24444175,1.22533761
392,Osmanabad,1204730,9962,[1889740],63.75109803,0.52716247
