,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes,total_electors,Unnamed: 12
2071,Haryana,Faridabad,KRISHAN PAL,M,57.0,GEN,BJP,652472,44,652516,1740352, 
4527,Punjab,Faridkot,PROF. SADHU SINGH,M,72.0,SC,AAAP,450632,119,450751,1455075, 
6550,Uttar Pradesh,Farrukhabad,MUKESH RAJPUT,M,45.0,GEN,BJP,406137,58,406195,1613781, 
4511,Punjab,Fatehgarh Sahib,HARINDER SINGH KHALSA,M,67.0,SC,AAAP,367231,62,367293,1396957, 
6697,Uttar Pradesh,Fatehpur,NIRANJAN JYOTI,F,47.0,GEN,BJP,485360,634,485994,1804753, 
6175,Uttar Pradesh,Fatehpur Sikri,BABULAL,M,66.0,GEN,BJP,426189,400,426589,1580582, 
6203,Uttar Pradesh,Firozabad,AKSHAY YADAV,M,27.0,GEN,SP,534573,10,534583,1636738, 
4543,Punjab,Firozpur,SHER SINGH GHUBAYA,M,51.0,SC,SAD,487737,195,487932,1522111, 
3024,Madhya Pradesh,GUNA,JYOTIRADITYA M SCINDIA,M,42.0,GEN,INC,516300,736,517036,1605613, 
3004,Madhya Pradesh,GWALIOR,NARENDRA SINGH TOMAR,M,56.0,GEN,BJP,442398,398,442796,1876965, 
3608,Maharashtra,Gadchiroli-Chimur,ASHOK MAHADEORAO NETE,M,50.0,ST,BJP,535616,366,535982,1468437, 
1559,Gujarat,Gandhinagar,L.K.ADVANI,M,86.0,GEN,BJP,770118,3421,773539,1733972, 
4631,Rajasthan,Ganganagar,NIHALCHAND,M,43.0,SC,BJP,654306,3824,658130,1718414, 
8049,Uttarakhand,Garhwal,(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM),M,79.0,GEN,BJP,401951,3739,405690,1267218, 
733,Assam,Gauhati,BIJOYA CHAKRAVARTY,F,75.0,GEN,BJP,764904,81,764985,1922270, 
6077,Uttar Pradesh,Gautam Buddha Nagar,DR.MAHESH  SHARMA,M,54.0,GEN,BJP,599174,528,599702,1986109, 
1435,Bihar,Gaya (SC),HARI MANJHI,M,51.0,SC,BJP,325040,1190,326230,1501521, 
7648,West Bengal,Ghatal,ADHIKARI DEEPAK (DEV),M,32.0,GEN,AITC,685122,574,685696,1610489, 
6062,Uttar Pradesh,Ghaziabad,VIJAY KUMAR SINGH,M,62.0,GEN,BJP,758113,369,758482,2357553, 
7126,Uttar Pradesh,Ghazipur,MANOJ SINHA,M,55.0,GEN,BJP,306791,138,306929,1801519, 
7041,Uttar Pradesh,Ghosi,HARINARAYAN RAJBHAR,M,73.0,GEN,BJP,379739,58,379797,1891112, 
7865,Jharkhand,Giridih,RAVINDRA KUMAR PANDEY,M,55.0,GEN,BJP,391905,8,391913,1511644, 
7803,Jharkhand,Godda,NISHIKANT DUBEY,M,42.0,GEN,BJP,380314,186,380500,1590772, 
6847,Uttar Pradesh,Gonda,KIRTI VARDHAN SINGH,M,48.0,GEN,BJP,358978,661,359639,1710825, 
1103,Bihar,Gopalganj (SC),JANAK RAM,M,42.0,SC,BJP,478758,15,478773,1654838, 
6944,Uttar Pradesh,Gorakhpur,ADITYANATH,M,41.0,GEN,BJP,538604,523,539127,1903988, 
2281,Karnataka,Gulbarga,MALLIKARJUN KHARGE,M,72.0,SC,INC,506975,218,507193,1721990, 
467,Andhra Pradesh,Guntur,JAYADEV GALLA,M,48.0,GEN,TDP,615170,3247,618417,1572017, 
4368,Punjab,Gurdaspur,VINOD KHANNA,M,68.0,GEN,BJP,482042,213,482255,1500337, 
2046,Haryana,Gurgaon,INDERJIT SINGH RAO,M,64.0,GEN,BJP,644486,294,644780,1844906, 
3207,Madhya Pradesh,HOSHANGABAD,UDAY PRATAP SINGH,M,49.0,GEN,BJP,668201,927,669128,1568206, 
1155,Bihar,Hajipur (SC),RAMVILAS PASWAN,M,67.0,SC,LJP,454874,778,455652,1649547, 
6665,Uttar Pradesh,Hamirpur,KUNWAR PUSHPENDRA SINGH CHANDEL,M,40.0,GEN,BJP,453866,18,453884,1737993, 
6362,Uttar Pradesh,Hardoi,ANSHUL VERMA,M,39.0,SC,BJP,360473,28,360501,1714388, 
8085,Uttarakhand,Hardwar,RAMESH POKHRIYAL NISHANK,M,54.0,GEN,BJP,590831,1489,592320,1642873, 
2450,Karnataka,Hassan,H.D. DEVEGOWDA,M,81.0,GEN,JD(S),509601,240,509841,1561486, 
6129,Uttar Pradesh,Hathras,RAJESH KUMAR DIWAKER,M,43.0,SC,BJP,544252,25,544277,1758927, 
4316,Maharashtra,Hatkanangle,RAJU SHETTY,M,46.0,GEN,SWP,639191,1237,640428,1630604, 
2356,Karnataka,Haveri,UDASI SHIVAKUMAR CHANNABASAPPA,M,47.0,GEN,BJP,566454,336,566790,1558749, 
8010,Jharkhand,Hazaribagh,JAYANT SINHA,M,50.0,GEN,BJP,406912,19,406931,1518923, 
564,Andhra Pradesh,Hindupur,KRISTAPPA NIMMALA,M,57.0,GEN,TDP,600507,3784,604291,1446496, 
3668,Maharashtra,Hingoli ,RAJEEV SHANKARRAO SATAV,M,39.0,GEN,INC,466483,914,467397,1586194, 
1915,Haryana,Hisar,DUSHYANT CHAUTALA,M,26.0,GEN,INLD,494213,265,494478,1517606, 
7617,West Bengal,Hooghly,DR. RATNA DE (NAG),F,62.0,GEN,AITC,613118,1194,614312,1630042, 
4448,Punjab,Hoshiarpur,VIJAY SAMPLA,M,52.0,SC,BJP,346341,302,346643,1485286, 
7573,West Bengal,Howrah,PRASUN BANERJEE,M,59.0,GEN,AITC,488339,122,488461,1505099, 
153,Telangana,Hyderabad,ASADUDDIN OWAISI,M,43.0,GEN,AIMIM,513777,91,513868,1823217, 
3326,Madhya Pradesh,INDORE,SUMITRA MAHAJAN (TAI),F,70.0,GEN,BJP,854326,646,854972,2115303, 
2862,Kerala,Idukki,ADV.JOICE GEORGE,M,44.0,GEN,IND,381638,381,382019,1158735, 
4325,Manipur,Inner manipur,DR. THOKCHOM MEINYA,M,69.0,GEN,INC,292085,17,292102,855360, 
3150,Madhya Pradesh,JABALPUR,RAKESH SINGH,M,53.0,GEN,BJP,564567,42,564609,1711621, 
4970,Rajasthan,JHALAWAR-BARAN,DUSHYANT SINGH,M,43.0,GEN,BJP,676022,80,676102,1669844, 
7526,West Bengal,Jadavpur,SUGATA BOSE,M,57.0,GEN,AITC,583490,754,584244,1595746, 
1405,Bihar,Jahanabad,DR. ARUN KUMAR,M,55.0,GEN,BLSP,322422,225,322647,1423246, 
4716,Rajasthan,Jaipur,RAMCHARAN BOHARA,M,56.0,GEN,BJP,859973,3385,863358,1957820, 
4701,Rajasthan,Jaipur Rural,RAJYAVARDHAN SINGH RATHORE ,M,44.0,GEN,BJP,629447,3483,632930,1700307, 
4421,Punjab,Jalandhar,SANTOKH SINGH CHAUDHARY,M,67.0,SC,INC,380467,12,380479,1551497, 
6639,Uttar Pradesh,Jalaun,BHANU PRATAP SINGH VERMA,M,55.0,SC,BJP,548457,174,548631,1887189, 
3410,Maharashtra,Jalgaon,A.T. NANA PATIL,M,52.0,GEN,BJP,647387,386,647773,1707969, 
3733,Maharashtra,Jalna,DANVE RAOSAHEB DADARAO,M,60.0,GEN,BJP,590849,579,591428,1612056, 
4885,Rajasthan,Jalore,DEVJI PATEL ,M,37.0,GEN,BJP,580304,204,580508,1824968, 
7287,West Bengal,Jalpaiguri,BIJOY CHANDRA BARMAN,M,57.0,SC,AITC,493913,860,494773,1531469, 
2203,Jammu & Kashmir,Jammu,JUGAL KISHORE,M,51.0,GEN,BJP,618245,1750,619995,1848155, 
1655,Gujarat,Jamnagar,POONAMBEN HEMATBHAI MAADAM,F,39.0,GEN,BJP,482451,1961,484412,1470952, 
7944,Jharkhand,Jamshedpur,BIDYUT BARAN MAHATO,M,51.0,GEN,BJP,464144,9,464153,1581665, 
1465,Bihar,Jamui (SC),CHIRAG KUMAR PASWAN,M,32.0,SC,LJP,285334,20,285354,1550936, 
7372,West Bengal,Jangipur,ABHIJIT MUKHERJEE,M,54.0,GEN,INC,378032,169,378201,1391656, 
7086,Uttar Pradesh,Jaunpur,KRISHNA PRATAP ''''''''K.P.'''''''',M,37.0,GEN,BJP,366856,293,367149,1848842, 
924,Bihar,Jhanjharpur,BIRENDRA KUMAR CHAUDHARY,M,60.0,GEN,BJP,335440,41,335481,1668405, 
6650,Uttar Pradesh,Jhansi,UMA BHARATI,F,55.0,GEN,BJP,575683,206,575889,1932052, 
7660,West Bengal,Jhargram,UMA SAREN,F,29.0,ST,AITC,673798,706,674504,1475112, 
4673,Rajasthan,Jhunjhunu,SANTOSH AHLAWAT,F,57.0,GEN,BJP,484630,3552,488182,1697470, 
4857,Rajasthan,Jodhpur,GAJENDRASINGH SHEKHAWAT ,M,48.0,GEN,BJP,708060,5455,713515,1727791, 
797,Assam,Jorhat,KAMAKHYA PRASAD TASA,M,38.0,GEN,BJP,456170,250,456420,1189486, 
7487,West Bengal,Joynagar,PRATIMA MONDAL,F,48.0,SC,AITC,494580,166,494746,1458724, 
1680,Gujarat,Junagadh,CHUDASAMA RAJESHBHAI NARANBHAI,M,31.0,GEN,BJP,511017,2162,513179,1485543, 
4764,Rajasthan,KARAULI-DHOLPUR,MANOJ RAJORIYA,M,43.0,SC,BJP,401921,486,402407,1549468, 
3071,Madhya Pradesh,KHAJURAHO,NAGENDRA SINGH,M,72.0,GEN,BJP,474814,152,474966,1702833, 
3357,Madhya Pradesh,KHANDWA,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),M,55.0,GEN,BJP,716164,1193,717357,1759417, 
3350,Madhya Pradesh,KHARGONE,SUBHASH PATEL,M,36.0,ST,BJP,648766,588,649354,1703272, 
1498,Gujarat,Kachchh,CHAVDA VINOD LAKHAMASHI,M,35.0,SC,BJP,560475,2380,562855,1533782, 
580,Andhra Pradesh,Kadapa,Y.S. AVINASH REDDY,M,29.0,GEN,YSRCP,665491,6492,671983,1550440, 
5912,Uttar Pradesh,Kairana,HUKUM SINGH,M,75.0,GEN,BJP,565071,838,565909,1531767, 
6816,Uttar Pradesh,Kaiserganj,BRIJ BHUSAN SHARAN SINGH,M,57.0,GEN,BJP,380984,516,381500,1711967, 
347,Andhra Pradesh,Kakinada,THOTA NARASIMHAM,M,53.0,GEN,TDP,512045,2357,514402,1418290, 
784,Assam,Kaliabor,GOURAV GOGOI,M,31.0,GEN,INC,443032,283,443315,1457219, 
5289,Tamil Nadu,Kallakurichi,KAMARAJ. K,M,48.0,GEN,ADMK,531365,2018,533383,1412499, 
3838,Maharashtra,Kalyan,DR.SHRIKANT EKNATH SHINDE,M,27.0,GEN,SHS,440574,318,440892,1922034, 
5127,Tamil Nadu,Kancheepuram ,MARAGATHAM  K,F,32.0,SC,ADMK,499010,385,499395,1480123, 
2099,Himachal Pradesh,Kangra,SHANTA KUMAR,M,79.0,GEN,BJP,455160,1003,456163,1258601, 
6583,Uttar Pradesh,Kannauj,DIMPLE YADAV,F,36.0,GEN,SP,488946,218,489164,1808886, 
5841,Tamil Nadu,Kanniyakumari,RADHAKRISHNAN P.,M,62.0,GEN,BJP,372572,334,372906,1467796, 
2701,Kerala,Kannur,P K SREEMATHI TEACHER,F,64.0,GEN,CPM,426478,1144,427622,1170266, 
6596,Uttar Pradesh,Kanpur,DR.MURLI MANOHAR JOSHI,M,80.0,GEN,BJP,474487,225,474712,1611248, 
7640,West Bengal,Kanthi,ADHIKARI SISIR KUMAR,M,74.0,GEN,AITC,675899,850,676749,1490409, 
1389,Bihar,Karakat,UPENDRA KUSHWAHA,M,51.0,GEN,BLSP,338821,71,338892,1580558, 
655,Assam,Karimganj ,RADHESHYAM BISWAS,M,59.0,SC,AIUDF,362605,261,362866,1165997, 
31,Telangana,Karimnagar ,VINOD KUMAR BOINAPALLY,M,54.0,GEN,TRS,503197,2161,505358,1550810, 
1957,Haryana,Karnal,ASHWINI KUMAR,M,57.0,GEN,BJP,594704,113,594817,1684321, 
5483,Tamil Nadu,Karur,"THAMBIDURAI,M.",M,67.0,GEN,ADMK,539128,1594,540722,1298322, 
2684,Kerala,Kasaragod,P KARUNAKARAN,M,69.0,GEN,CPM,384209,755,384964,1243730, 
979,Bihar,Katihar,TARIQ ANWAR,M,63.0,GEN,NCP,431172,120,431292,1446478, 
6711,Uttar Pradesh,Kaushambi,VINOD KUMAR SONKAR,M,44.0,SC,BJP,331480,244,331724,1738509, 
4405,Punjab,Khadoor Sahib,RANJIT SINGH BRAHMPURA,M,76.0,GEN,SAD,467238,94,467332,1563409, 
1216,Bihar,Khagaria,CHOUDHARY MAHBOOB ALI KAISER,M,47.0,GEN,LJP,313736,70,313806,1506587, 
