,party,state,total_votes,split_votes,vote_perc
820,RND,Uttar Pradesh,977,520018484,0.00018787793704656085
567,JD(U),Haryana,976,520018484,0.00018768563618980897
1046,mmsp,Telangana,959,520018484,0.00018441652162502745
85,ABML(S),Uttar Pradesh,956,520018484,0.0001838396190547719
970,SUCI,Andhra Pradesh,952,520018484,0.00018307041562776449
426,DaVP,Madhya Pradesh,950,520018484,0.00018268581391426078
1009,UPI,Tamil Nadu,944,520018484,0.00018153200877374967
630,JanSP,Punjab,944,520018484,0.00018153200877374967
986,SVRP,Maharashtra,944,520018484,0.00018153200877374967
107,AIFB,Andhra Pradesh,933,520018484,0.00017941669934947927
1049,pjdl,Telangana,928,520018484,0.00017845519506572
303,BSDS,Madhya Pradesh,924,520018484,0.0001776859916387126
818,RMOP,Haryana,923,520018484,0.00017749369078196074
948,SP,Punjab,922,520018484,0.0001773013899252089
751,PHRC,Haryana,916,520018484,0.00017614758478469775
169,ANC,NCT OF Delhi,911,520018484,0.00017518608050093852
851,RPIE,Gujarat,910,520018484,0.00017499377964418664
70,ABCD(A),Gujarat,895,520018484,0.00017210926679290885
456,HSCP,Maharashtra,888,520018484,0.0001707631607956459
557,JD(S),Andhra Pradesh,888,520018484,0.0001707631607956459
265,BMNSP,Uttarakhand,877,520018484,0.00016864785137137548
746,PECP,NCT OF Delhi,877,520018484,0.00016864785137137548
864,RSPS,Gujarat,876,520018484,0.00016845555051462363
554,JAP,Telangana,873,520018484,0.00016787864794436808
1031,aicp,Uttar Pradesh,858,520018484,0.00016499413509309026
193,BA S D,Punjab,837,520018484,0.00016095581710130134
416,DCP,Punjab,833,520018484,0.00016018661367429393
305,BSKP,NCT OF Delhi,818,520018484,0.00015730210082301612
880,RVNP,Uttar Pradesh,810,520018484,0.0001557636939690013
278,BMUP,NCT OF Delhi,805,520018484,0.00015480218968524204
111,AIFB,Jammu & Kashmir,803,520018484,0.00015441758797173834
203,BCP,Uttarakhand,802,520018484,0.00015422528711498648
772,PSS,Madhya Pradesh,796,520018484,0.00015307148197447537
727,NP,Uttar Pradesh,791,520018484,0.00015210997769071608
436,GSRP,Goa,783,520018484,0.00015057157083670126
723,NLP,Uttar Pradesh,773,520018484,0.00014864856226918274
995,SaVP,Madhya Pradesh,763,520018484,0.0001467255537016642
218,BIP,Haryana,762,520018484,0.00014653325284491234
956,SP(I),NCT OF Delhi,761,520018484,0.0001463409519881605
722,NLP,NCT OF Delhi,745,520018484,0.00014326413828013082
42,AAAP,Daman & Diu,729,520018484,0.00014018732457210116
451,HKRD,Uttarakhand,710,520018484,0.00013653360829381597
633,KCVP,Karnataka,707,520018484,0.0001359567057235604
780,RAHM,Rajasthan,699,520018484,0.00013441829886954557
740,PAP,Gujarat,698,520018484,0.00013422599801279371
72,ABHKP,Haryana,685,520018484,0.0001317260868750196
88,ABRS,Uttar Pradesh,683,520018484,0.0001313414851615159
934,SLAP,Kerala,682,520018484,0.00013114918430476405
