,pc_name,total_votes,postal_votes,total_electors,vtr,postal_votes_per
331,Muzaffarpur,948887,22,[1730553],54.8314325,0.00127127
332,Mysore,1159594,2248,[1896333],61.14928127,0.11854458
333,NEW DELHI                     ,969812,1293,[1617470],59.95857728,0.07993966
334,NORTH EAST DELHI              ,1317338,3542,[2290492],57.51332028,0.15463927
335,NORTH WEST DELHI              ,1356036,2855,[2378995],57.00037201,0.12000866
336,Nagaland,1038910,549,[1213777],85.59315261,0.04523071
337,Nagapattinam ,942202,2446,[1303649],72.27420878,0.18762719
338,Nagaur,1004019,3391,[1933169],51.93643184,0.17541146
339,Nagina,942196,239,[1586117],59.40267963,0.01506825
340,Nagpur ,1085038,1434,[2161096],50.20776495,0.06635522
341,Nainital-udhamsingh Nagar,1101435,2090,[1828433],60.23928686,0.11430553
342,Nalanda,921761,113,[2114809],43.58601651,0.00534327
343,Nalgonda,1189399,8712,[1585980],74.99457749,0.54931336
344,Namakkal,1058755,1023,[1413599],74.8978317,0.07236847
345,Nanded,1013350,3085,[1719322],58.93893058,0.17943119
346,Nandurbar ,1116676,2292,[1871099],59.68022002,0.12249485
347,Nandyal,1204956,4349,[1603220],75.15849353,0.27126658
348,Narasapuram,1088947,5770,[1439691],75.63755,0.40078045
349,Narasaraopet,1282058,5901,[1670391],76.75197005,0.35327058
350,Nashik,937405,2000,[1885064],49.72801984,0.10609719
351,Navsari,1160747,3733,[1971658],58.87161972,0.18933304
352,Nawada,884441,58,[1899747],46.55572558,0.00305304
353,Nellore,1187648,7680,[1672845],70.99569894,0.45909812
354,Nilgiris ,933076,2052,[1366060],68.30417405,0.15021302
355,Nizamabad,1033924,7419,[1553385],66.55941702,0.47760214
356,North Goa,406631,1441,[556761],73.03510842,0.25881842
357,Nowgong,1230074,365,[1794648],68.5412404,0.02033825
358,Ongole ,1208225,10370,[1556469],77.62602403,0.66625162
359,Osmanabad,1118151,2198,[1889740],59.1695683,0.1163123
360,Outer manipur,771766,198,[1022099],75.50794982,0.0193719
361,Palakkad,910322,906,[1323010],68.80688733,0.06848021
362,Palamau,977323,1256,[1881441],51.94545032,0.06675734
363,Palghar ,992618,338,[1885600],52.64202376,0.01792533
364,Pali,1095587,5191,[2161663],50.68259946,0.24013919
365,Panchmahal,933461,6471,[1744762],53.500764,0.37088153
366,Parbhani,1162233,609,[1985228],58.5440564,0.03067658
367,Paschim Champaran,854800,159,[1633824],52.31897683,0.00973177
368,Pataliputra,978649,1834,[1925479],50.82626193,0.09524903
369,Patan,955799,6120,[1807043],52.89298594,0.33867484
370,Pathanamthitta,869452,1076,[1382741],62.87887609,0.07781645
371,Patiala,1120933,60,[1739600],64.43624971,0.00344907
372,Patna Sahib,882262,2428,[2146008],41.11177591,0.11314031
373,Perambalur,1030826,3256,[1391853],74.06141309,0.23393275
374,Phulpur,960341,921,[2010477],47.7668235,0.04581002
375,Pilibhit,1050547,205,[1761207],59.64926326,0.01163974
376,Pollachi,1012667,2346,[1520504],66.60074554,0.15429095
377,Ponnani,871592,273,[1356803],64.23865513,0.02012083
378,Porbandar,809433,5018,[1662368],48.69156529,0.30185855
379,Pratapgarh,894456,1724,[1708759],52.34535707,0.10089193
380,Puducherry,740017,267,[973410],76.02315571,0.02742935
381,Pune,993278,479,[2075824],47.84981771,0.02307517
382,Purnia,1017732,364,[1765312],57.65167857,0.02061958
383,Purulia,1204675,3366,[1645884],73.1931898,0.20451016
384,Purvi Champaran,822671,23,[1658672],49.59817251,0.00138665
385,RAJGARH,1010724,772,[1694329],59.6533495,0.04556376
386,RATLAM,1082690,2024,[1851112],58.48862738,0.10933968
387,REWA,830002,115,[1679534],49.41858873,0.00684714
388,Rae Bareli,825136,6,[1702248],48.47331294,0.00035248
389,Raichur,968889,376,[1928204],50.24826211,0.01950001
390,Raigad,987766,329,[1652965],59.75722414,0.01990363
391,Raiganj,1108193,1607,[1601220],69.20929042,0.10036097
392,Rajahmundry,1154381,5418,[1534256],75.24044227,0.35313533
393,Rajampet,1158317,4482,[1546938],74.87804941,0.28973365
394,Rajkot,1057069,4474,[1884339],56.0976024,0.23743074
395,Rajmahal,951563,268,[1454436],65.42487947,0.01842639
396,Rajsamand,982119,4828,[1912911],51.34159404,0.25239021
397,Ramanathapuram,1001048,1725,[1559740],64.18044033,0.11059536
398,Rampur,956389,30,[1679506],56.94466111,0.00178624
399,Ramtek ,1050316,1038,[1922764],54.62532063,0.05398478
400,Ranaghat,1353196,4006,[1762252],76.78788278,0.22732277
401,Ranchi,1049783,178,[1915959],54.79151694,0.00929039
402,Ratnagiri - sindhudurg,896256,239,[1455577],61.57393254,0.01641961
